GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyVaultResponse.EmergencyVaultResponseBuilder,0,47,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordAgeResponse.PasswordAgeResponseBuilder,0,73,0,0,0,1,0,10,0,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse.MonthlyActivityBucket,92,19,16,0,2,4,15,4,7,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyVaultResponse.EmergencyVaultEntry.EmergencyVaultEntryBuilder,64,0,0,0,1,0,9,0,9,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.EntryActivitySummary.EntryActivitySummaryBuilder,45,0,0,0,1,0,7,0,7,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachHistoryResponse,30,108,11,7,0,7,7,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UnreadCountResponse.UnreadCountResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,FileUploadResponse.FileUploadResponseBuilder,0,82,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UserResponse,131,244,50,16,0,12,32,24,1,22
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SnapshotResponse,66,149,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse.MonthlyActivityBucket.MonthlyActivityBucketBuilder,6,21,0,0,0,1,1,4,1,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AutofillSuggestionResponse.AutofillEntry,300,0,54,0,10,0,46,0,19,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryPolicyResponse.ExpiryPolicyResponseBuilder,0,54,0,0,0,1,0,8,0,8
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultEntryResponse,237,366,90,20,0,17,53,35,0,33
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHealthMetricsResponse,66,211,21,7,0,12,12,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse,50,148,18,8,0,8,11,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse.TimelineStatsResponseBuilder,0,85,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse,30,108,11,7,0,7,7,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SharedPasswordResponse,156,257,58,14,0,13,34,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachHistoryResponse.BreachHistoryResponseBuilder,0,37,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExportResponse.ExportResponseBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedPasswordGroup,93,19,16,0,2,4,15,4,7,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AutofillSuggestionResponse.AutofillSuggestionResponseBuilder,0,37,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyVaultResponse,61,146,23,9,0,8,14,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UnreadCountResponse,4,72,2,6,0,5,2,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AutofillSuggestionResponse.AutofillEntry.AutofillEntryBuilder,63,0,0,0,1,0,9,0,9,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecureFileListResponse.FolderItem.FolderItemBuilder,46,0,0,0,1,0,7,0,7,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordAgeResponse.AgeDistributionBucket.AgeDistributionBucketBuilder,10,35,0,0,0,1,1,6,1,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedPasswordResponseBuilder,0,37,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHealthMetricsResponse.PasswordHealthMetricsResponseBuilder,0,82,0,0,0,1,0,11,0,11
